phone,message
+7700000038,"Парковка №2005, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076979514756"
+7700000039,"Парковка №2005, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076979520464"
+7700000040,"Парковка №2005, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468311133784"
+7700000041,"Парковка №2005, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076144251737"
+7700000042,"Парковка №2005, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076861614571"
+7700000043,"Парковка №2005, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076130103092"
+7700000044,"Парковка №2005, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076197619606"
+7700000045,"Парковка №2005, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/70030076300257145"
+7700000046,"Парковка №2005, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076520656797"
+7700000047,"Парковка №2005, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076130101622"
+7700000048,"Парковка №2005, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030077012022287"
+7700000049,"Парковка №2005, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030077012038512"
+7700000050,"Парковка №2006, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468281762059"
+7700000051,"Парковка №2006, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/70030076216210336"
+7700000052,"Парковка №2006, Алмалинский, платная, мест: 50. https://2gis.kz/almaty/firm/9430468309635491"
+7700000053,"Парковка №2006, Алмалинский, платная, мест: 25. https://2gis.kz/almaty/firm/9430468309635503"
+7700000054,"Парковка №2006, Алмалинский, платная, мест: 25. https://2gis.kz/almaty/firm/9430468309635513"
+7700000055,"Парковка №2006, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/9430468309635856"
+7700000056,"Парковка №2006, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/9430468311052446"
+7700000057,"Парковка №2006, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076216210373"
+7700000058,"Парковка №2006, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076477122228"
+7700000059,"Парковка №2006, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076692504647"
+7700000060,"Парковка №2006, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030077027598039"
+7700000061,"Парковка №2006, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076165354314"
+7700000062,"Парковка №2006, Алмалинский, платная, мест: 3. https://2gis.kz/almaty/firm/70030076216213047"
+7700000063,"Парковка №2006, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076743539367"
+7700000064,"Парковка №2006, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076743539467"
+7700000065,"Парковка №2006, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076979034037"
+7700000066,"Парковка №2006, Алмалинский, платная, мест: 8. https://2gis.kz/almaty/firm/70030076979034124"
+7700000067,"Парковка №2006, Алмалинский, платная, мест: 50. https://2gis.kz/almaty/firm/70030076153401935"
+7700000068,"Парковка №2006, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076191588229"
+7700000069,"Парковка №2006, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076977711283"
+7700000070,"Парковка №2006, Алмалинский, платная, мест: 4. https://2gis.kz/almaty/firm/70030076164513422"
+7700000071,"Парковка №2006, Алмалинский, платная, мест: 8. https://2gis.kz/almaty/firm/70030076306352532"
+7700000072,"Парковка №2006, Алмалинский, платная, мест: 36. https://2gis.kz/almaty/firm/70030076479614395"
+7700000073,"Парковка №2006, Алмалинский, платная, мест: 6. https://2gis.kz/almaty/firm/70030076979029995"
+7700000074,"Парковка №2007, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468309635802"
+7700000075,"Парковка №2007, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076844134361"
+7700000076,"Парковка №2007, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468281762067"
+7700000077,"Парковка №2007, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468281762068"
+7700000078,"Парковка №2007, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/9430468309635814"
+7700000079,"Парковка №2007, Алмалинский, платная, мест: 25. https://2gis.kz/almaty/firm/70030076135607642"
+7700000080,"Парковка №2007, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076153408647"
+7700000081,"Парковка №2007, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076165356433"
+7700000082,"Парковка №2007, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030076979173048"
+7700000083,"Парковка №2007, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076165690990"
+7700000084,"Парковка №2007, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076165691069"
+7700000085,"Парковка №2007, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076165691072"
+7700000086,"Парковка №2007, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076306285604"
+7700000087,"Парковка №2007, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030076695585467"
+7700000088,"Парковка №2008, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468281762245"
+7700000089,"Парковка №2008, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468281762242"
+7700000090,"Парковка №2008, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468281762244"
+7700000091,"Парковка №2008, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/9430468311035092"
+7700000092,"Парковка №2008, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/9430468311036551"
+7700000093,"Парковка №2008, Алмалинский, платная, мест: 40. https://2gis.kz/almaty/firm/70030076130105930"
+7700000094,"Парковка №2008, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/70030076676487058"
+7700000095,"Парковка №2008, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030077137645561"
+7700000096,"Парковка №2008, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076190177035"
+7700000097,"Парковка №2008, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076130105592"
+7700000098,"Парковка №2008, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076159890465"
+7700000099,"Парковка №2008, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076159890623"
+7700000100,"Парковка №2008, Алмалинский, платная, мест: 40. https://2gis.kz/almaty/firm/70030076423679481"
+7700000101,"Парковка №2008, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076676487037"
+7700000102,"Парковка №2008, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076676487041"
+7700000103,"Парковка №2008, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076676487043"
+7700000104,"Парковка №2008, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076856185863"
+7700000105,"Парковка №2008, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076980474518"
+7700000106,"Парковка №2008, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076163011103"
+7700000107,"Парковка №2009, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468311102423"
+7700000108,"Парковка №2009, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/9430468312482011"
+7700000109,"Парковка №2009, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468312483066"
+7700000110,"Парковка №2009, Алмалинский, платная, мест: 8. https://2gis.kz/almaty/firm/9430468312483731"
+7700000111,"Парковка №2009, Алмалинский, платная, мест: 6. https://2gis.kz/almaty/firm/9430468312484039"
+7700000112,"Парковка №2009, Алмалинский, платная, мест: 8. https://2gis.kz/almaty/firm/9430468312484496"
+7700000113,"Парковка №2009, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468312507923"
+7700000114,"Парковка №2009, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468309636065"
+7700000115,"Парковка №2009, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468312648127"
+7700000116,"Парковка №2009, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076223368586"
+7700000117,"Парковка №2009, Алмалинский, платная, мест: 6. https://2gis.kz/almaty/firm/70030076281175726"
+7700000118,"Парковка №2009, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076306357044"
+7700000119,"Парковка №2009, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030076979613184"
+7700000120,"Парковка №2009, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076979620275"
+7700000121,"Парковка №2009, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076979962065"
+7700000122,"Парковка №2009, Алмалинский, платная, мест: 35. https://2gis.kz/almaty/firm/9430468311100436"
+7700000123,"Парковка №2009, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468311100725"
+7700000124,"Парковка №2009, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076163045398"
+7700000125,"Парковка №2009, Алмалинский, платная, мест: 8. https://2gis.kz/almaty/firm/70030076976519934"
+7700000126,"Парковка №2009, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076980030080"
+7700000127,"Парковка №2009, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076996805522"
+7700000128,"Парковка №2010, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468312490288"
+7700000129,"Парковка №2011, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076155653557"
+7700000130,"Парковка №2013, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076153505974"
+7700000131,"Парковка №2013, Алмалинский, платная, мест: 35. https://2gis.kz/almaty/firm/70030076193412557"
+7700000132,"Парковка №2013, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076313411722"
+7700000133,"Парковка №2013, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076788410387"
+7700000134,"Парковка №2013, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076980486505"
+7700000135,"Парковка №2013, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076980547613"
+7700000136,"Парковка №2013, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076980632887"
+7700000137,"Парковка №2013, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076980650979"
+7700000138,"Парковка №2013, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030077027762511"
+7700000139,"Парковка №2014, Алмалинский, платная, мест: 40. https://2gis.kz/almaty/firm/70030077051020057"
+7700000140,"Парковка №2016, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/70030076899743874"
+7700000141,"Парковка №2016, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468312624052"
+7700000142,"Парковка №2016, Алмалинский, бесплатная, мест: 15. https://2gis.kz/almaty/firm/9430468312640923"
+7700000143,"Парковка №2016, Алмалинский, платная, мест: 3. https://2gis.kz/almaty/firm/70030076189204493"
+7700000144,"Парковка №2016, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076193677196"
+7700000145,"Парковка №2016, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076980016292"
+7700000146,"Парковка №2016, Алмалинский, платная, мест: 6. https://2gis.kz/almaty/firm/70030077077201060"
+7700000147,"Парковка №2016, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/9430468312640762"
+7700000148,"Парковка №2016, Алмалинский, бесплатная, мест: 15. https://2gis.kz/almaty/firm/9430468312640764"
+7700000149,"Парковка №2016, Алмалинский, платная, мест: 13. https://2gis.kz/almaty/firm/70030076440939958"
+7700000150,"Парковка №2016, Алмалинский, платная, мест: 9. https://2gis.kz/almaty/firm/70030076663420371"
+7700000151,"Парковка №2017, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076191444998"
+7700000152,"Парковка №2017, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468281762246"
+7700000153,"Парковка №2017, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/9430468309635925"
+7700000154,"Парковка №2017, Алмалинский, платная, мест: 25. https://2gis.kz/almaty/firm/9430468312477523"
+7700000155,"Парковка №2017, Алмалинский, платная, мест: 4. https://2gis.kz/almaty/firm/9430468312478742"
+7700000156,"Парковка №2017, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468312533497"
+7700000157,"Парковка №2017, Алмалинский, бесплатная, мест: 10. https://2gis.kz/almaty/firm/9430468312533865"
+7700000158,"Парковка №2017, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468312580903"
+7700000159,"Парковка №2017, Алмалинский, платная, мест: 6. https://2gis.kz/almaty/firm/9430468312590650"
+7700000160,"Парковка №2017, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468312625302"
+7700000161,"Парковка №2017, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468312627996"
+7700000162,"Парковка №2017, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468312628184"
+7700000163,"Парковка №2017, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076979587052"
+7700000164,"Парковка №2017, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468312627247"
+7700000165,"Парковка №2017, Алмалинский, платная, мест: 8. https://2gis.kz/almaty/firm/70030076421762504"
+7700000166,"Парковка №2017, Алмалинский, платная, мест: 8. https://2gis.kz/almaty/firm/70030076436160579"
+7700000167,"Парковка №2017, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076979587472"
+7700000168,"Парковка №2017, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030077147681141"
+7700000169,"Парковка №2017, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468312648862"
+7700000170,"Парковка №2017, Алмалинский, платная, мест: 25. https://2gis.kz/almaty/firm/70030076130106441"
+7700000171,"Парковка №2017, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076177932157"
+7700000172,"Парковка №2017, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076681974327"
+7700000173,"Парковка №2017, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076898249566"
+7700000174,"Парковка №2017, Алмалинский, платная, мест: 3. https://2gis.kz/almaty/firm/70030076979607884"
+7700000175,"Парковка №2017, Алмалинский, платная, мест: 6. https://2gis.kz/almaty/firm/70030077147680974"
+7700000176,"Парковка №2018, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468312588794"
+7700000177,"Парковка №2018, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468312585567"
+7700000178,"Парковка №2018, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468312588751"
+7700000179,"Парковка №2018, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/9430468312588800"
+7700000180,"Парковка №2018, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076150156178"
+7700000181,"Парковка №2018, Алмалинский, бесплатная, мест: 15. https://2gis.kz/almaty/firm/70030076208619045"
+7700000182,"Парковка №2018, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076172226344"
+7700000183,"Парковка №2018, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076157506637"
+7700000184,"Парковка №2018, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076191585232"
+7700000185,"Парковка №2018, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076216211980"
+7700000186,"Парковка №2018, Алмалинский, платная, мест: 25. https://2gis.kz/almaty/firm/70030076192074635"
+7700000187,"Парковка №2018, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076197679569"
+7700000188,"Парковка №2018, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076428575202"
+7700000189,"Парковка №2018, Алмалинский, платная, мест: 3. https://2gis.kz/almaty/firm/70030076979928053"
+7700000190,"Парковка №2018, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076979928109"
+7700000191,"Парковка №2018, Алмалинский, платная, мест: 3. https://2gis.kz/almaty/firm/70030076979928128"
+7700000192,"Парковка №2021, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076187658695"
+7700000193,"Парковка №2021, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076980029971"
+7700000194,"Парковка №2024, Алмалинский, платная, мест: 100. https://2gis.kz/almaty/firm/9430468281762015"
+7700000195,"Парковка №2025, Алмалинский, платная, мест: 50. https://2gis.kz/almaty/firm/70030076996909192"
+7700000196,"Парковка №2041, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468312264562"
+7700000197,"Парковка №2042, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076166435430"
+7700000198,"Парковка №2042, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076130098558"
+7700000199,"Парковка №2042, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076177575702"
+7700000200,"Парковка №2042, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030076299782405"
+7700000201,"Парковка №2042, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/70030076840151673"
+7700000202,"Парковка №2042, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076945154052"
+7700000203,"Парковка №2042, Алмалинский, платная, мест: 4. https://2gis.kz/almaty/firm/70030076998751920"
+7700000204,"Парковка №2042, Алмалинский, платная, мест: 4. https://2gis.kz/almaty/firm/70030076998754546"
+7700000205,"Парковка №2042, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076998756428"
+7700000206,"Парковка №2042, Алмалинский, платная, мест: 6. https://2gis.kz/almaty/firm/70030076998772158"
+7700000207,"Парковка №2042, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076998811661"
+7700000208,"Парковка №2042, Алмалинский, платная, мест: 3. https://2gis.kz/almaty/firm/70030076998812077"
+7700000209,"Парковка №2042, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076998824476"
+7700000210,"Парковка №2042, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076998825110"
+7700000211,"Парковка №2042, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076998828577"
+7700000212,"Парковка №2042, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076998830393"
+7700000213,"Парковка №2042, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076158974026"
+7700000214,"Парковка №2042, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076164053498"
+7700000215,"Парковка №2042, Алмалинский, платная, мест: 4. https://2gis.kz/almaty/firm/70030076846006810"
+7700000216,"Парковка №2042, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076998741065"
+7700000217,"Парковка №2043, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076306306909"
+7700000218,"Парковка №2043, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076326095737"
+7700000219,"Парковка №2043, Алмалинский, платная, мест: 4. https://2gis.kz/almaty/firm/70030076636887052"
+7700000220,"Парковка №2043, Алмалинский, платная, мест: 8. https://2gis.kz/almaty/firm/70030076998839069"
+7700000221,"Парковка №2043, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/70030076998839647"
+7700000222,"Парковка №2043, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030077011391029"
+7700000223,"Парковка №2043, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030077011391035"
+7700000224,"Парковка №2043, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/70030076172098445"
+7700000225,"Парковка №2043, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030077135689436"
+7700000226,"Парковка №2043, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076172165212"
+7700000227,"Парковка №2043, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076326095738"
+7700000228,"Парковка №2043, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076326177839"
+7700000229,"Парковка №2043, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076998834024"
+7700000230,"Парковка №2043, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/70030076998834083"
+7700000231,"Парковка №2043, Алмалинский, платная, мест: 3. https://2gis.kz/almaty/firm/70030076998834187"
+7700000232,"Парковка №2043, Алмалинский, платная, мест: 3. https://2gis.kz/almaty/firm/70030076998834240"
+7700000233,"Парковка №2043, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076998835282"
+7700000234,"Парковка №2043, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076998835883"
+7700000235,"Парковка №2045, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468281762235"
+7700000236,"Парковка №2045, Алмалинский, платная, мест: 40. https://2gis.kz/almaty/firm/9430468311124635"
+7700000237,"Парковка №2045, Алмалинский, платная, мест: 34. https://2gis.kz/almaty/firm/70030076153879728"
+7700000238,"Парковка №2045, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076155373689"
+7700000239,"Парковка №2045, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076155434645"
+7700000240,"Парковка №2045, Алмалинский, платная, мест: 13. https://2gis.kz/almaty/firm/70030076155438765"
+7700000241,"Парковка №2045, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076155449109"
+7700000242,"Парковка №2045, Алмалинский, платная, мест: 11. https://2gis.kz/almaty/firm/70030076195760553"
+7700000243,"Парковка №2045, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030077059700454"
+7700000244,"Парковка №2045, Алмалинский, бесплатная, мест: 4. https://2gis.kz/almaty/firm/9430468311123794"
+7700000245,"Парковка №2045, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076155373708"
+7700000246,"Парковка №2045, Алмалинский, платная, мест: 6. https://2gis.kz/almaty/firm/70030076155434107"
+7700000247,"Парковка №2045, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030076261951836"
+7700000248,"Парковка №2045, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076261951837"
+7700000249,"Парковка №2046, Алмалинский, платная, мест: 14. https://2gis.kz/almaty/firm/70030076154856779"
+7700000250,"Парковка №2046, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/70030076143863550"
+7700000251,"Парковка №2046, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076196433049"
+7700000252,"Парковка №2046, Алмалинский, платная, мест: 4. https://2gis.kz/almaty/firm/70030076306346096"
+7700000253,"Парковка №2046, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030077014901202"
